Comments,Label
ഇത് അധികമൊന്നും പോകില്ല ഒരു മൂന്നുമാസം,1
ഇവന് വീടും കുടുംബവുമില്ലേ,1
Molde cheruppathil uppa oppam undayirunno ?,0
Pannam ullathinde kuthikazhapalle nii avide kattiyath😂,0
പ്രൈസ് ടാഗ് നോക്കാതെ എല്ലാം അങ്ങ് വാങ്ങാൻ പറ്റുന്നല്ലോ 🙌🔥,0
ഈ പ്രായത്തിൽ എത്താവുന്നതിനപ്പുറം എത്തി നിൽക്കുന്ന നിങ്ങൾ ആണ് മാതൃക 👏👏👏🔥,0
ഒന്ന് പോടീ മൈരാ,1
"വീട്ടിൽ പോലും ഈ പ്രശ്നം ഉണ്ടായില്ല, പൊതുജനങ്ങൾക്ക് മാത്രമേ ഉള്ളൂ 🙃👍🏻",0
Kittiyo? illa choichu vangi🤣🤣🤣,0
Reach indakkan palathum vilich parayaam eanna dharana ആണ് chilavarkk 😂😂😂,0
വെല്ലിമ്മനെ അങ്ങട്ട് ഇറക്കി 😂 ഒന്നും നോകീല 😁,0
Dey deyyyyy 😂 jan 30 kazhinja full pani,0
Njan illand ee paripadi munnot povathilla…,0
കൂട്ടത്തിൽ നിന്ന് ഒരുത്തൻ മാത്രം രക്ഷപ്പെട്ടാൽ ഇതാണ് അവസ്ഥ😂😂,0
അപ്പോൾ ഞാൻ ഇനി പണിക്കു പോണം 🤣,0
Swantham name anwarthamakuna nimisham,0
Ulladh parayalo ottum cheranilla,1
നല്ല ബെസ്റ്റ് കോലം😂,1
Enthina a chondil oru 1kg potti varri tecknne 🤦🏻😂,1
verthe ella anne ellaru moyandh nn viliknne 😇,0
Nte Ponnu makkale ath ummathinte kaaya aan....kazhchirnnel dead ayene😑,0
ആലിബ് രണ്ടെണ്ണം വിട്ടാൽ നല്ല extro ആണെന്ന് തോന്നുന്നു 😂,0
അലിഞ്ഞു പോയ് എൻ്റെ ഹൃദയം സഹോദരിമാരെ😮😍😂,0
ഇപ്പോളാണ് അങ്ങട്ട് ഷെരി ആയത് 🔥,0
എന്താ ഗുസ്തി with ഷൈത്താനി show ക്ക് വിളിച്ചില്ലേ നിന്നെ...... കണ്ടില്ലല്ലോ 😇😂,1
വിശന്നാൽ നിങ്ങൾ നിങ്ങല്ലാതാകും.. എടുക്കു ഒരു snickers 🙂,0
Ellaadathum ithenne avastha 😭🤌🏻,0
enna pinne naale thott aakam saving le 😂❤️,0
mudi k nalla volume thonikkn ktoo ❤️,0
മുലകുടി മാറാത്ത പെണ്ണൊക്കെ പ്രേമിക്കാൻ ഇറങ്ങിയിരിക്കുന്നു😂😂😂😂😂😂😂,1
ചെവിയിൽ 🌞 ഒക്കെ ഉണ്ടല്ലേ ദൈവം ആണോ 😂,0
Poyi padikadee penne.... Padikanda time premich nadukkuvaaa🤦‍♀️,1
കൊണ കൊള്ളാമോ അവളുടെ 😂😂,1
Kudumbha prekshakar ishtapedunna penkoch,0
ഒട്ടും രസമില്ല... ഈ വേഷത്തിൽ... അല്ലാതെ തന്നെ ഇയാൾ super ആണ്,0
"ഓരോ ആൾക് ഓരോ അഭിപ്രായം ആയിരിക്കും എനിക് നല്ല ബോർ ആണ് എന്താ അതിന്റെ കോലം, 🤮",1
സത്യം പറയാലോ ഭയങ്കര ബോറിങ് ആയിരുന്നു,1
Ithine akathum purathum ishttallathavar undo,1
Nine കാണാൻ തനെ ബോറാണ്,1
ചാക്ക് കിറിയാണോ ഇട്ടിരിക്കുന്നത്,0
മസ്താനി മോളോട് ജനങ്ങൾക്കും ഒടുക്കത്തെ സ്നേഹമാണ് 😂💀,0
അനീഷ് മണ്ടൻ അല്ലെന്ന് പുറത്ത് വന്നപ്പോൾ മനസ്സിലായി കാണും എന്ന് വിശ്വസിക്കുന്നു.,0
എന്നോട് പിണക്കം ഒന്നുമില്ലല്ലോ ല്ലേ 🙂,0
Sthyam parayaloo kollilaaa🙌🏻,1
ഇത്രയും കൂതറ ഡ്രസ്സ്‌ ഞാൻ ജീവിതത്തിൽ കണ്ടിട്ടില്ല.....,1
മില്ലിൽ അരി പൊടിക്കുന്ന തുണി പോലെയുണ്ട് കാല് കാണുമ്പോ 😂😂,0
കാലിൽ എന്താ plaster aanaa🙄,0
എൻ്റെ ഉമ്മമ്മ തൊഴുത്തിൽ കേറുന്നത് ഈ ഷൂ ഇട്ടിട്ടാണ്,0
അനുമോൾ പട്ടി ആണെങ്കി നീ പേ പിടിച്ച പട്ടി ആണ് മോളെ 😂,1
നമ്മൾ റീൽ കാണുന്നു അവൾ പൈസ ഉണ്ടാകുന്നു,0
ഏഷ്യൻ പെയിന്റ് അൾട്ടിമ പ്രൊട്ടക്റ്റ് വിള്ളലും പായലും പമ്പകടക്കും 😂😂,0
ബോഡി ബിൽഡിംഗ്‌. നോക്ണ്ടോ 🤗,0
ഞാനും കോഴിക്കോട് പയം മയ പൊര ഒന്നും പറായാറില്ല,0
Ippo varum kure ennam putti adichunn paranj😂🤣,0
Makeup onnum chyanda impress chyan vilicht kaycho ok ano avra karyangal anuveshecha mathi,0
എന്തങ്കിലും ഓക്കേ ചെയ്യൂ,0
എന്റെ വാവ എന്നോട് തെറ്റി ഇനി എന്ത് ചെയ്യാൻ പറ്റും റെനതാത്ത 🥹,0
ഇജ്ജ് ധൈര്യം ആയിട്ട് പുട്ടി ഇട്ടോ ഹോസ്പിറ്റൽ ഉള്ളടത്തോളം കാലം,1
തടി കുറയ്ക്കാൻ വ്യായാമം ചെയ്താൽ നന്നായിരിക്കും 😌🙌,0
അന്ന് കുളിക്കും ഇന്ന് കുളിക്കൂല 😆🤝,1
Koree putti anng varee ette eth annho nintePlastic surgery ....,1
ചില ശബ്ദങ്ങൾ പുറത്ത് കേൾക്കുമോ എന്നുള്ള tension 😂,0
Aa samayath current kude ponam pinne kazhukkan polum nikulla😵‍💫,0
Adhyam onnu kulikaarn,0
പേടിച്ചു തൂറൽ തുടരും,1
ഇതാണ് boys പരസ്പരം പറയുന്നത് “ഒരുമാതിരി പെണ്ണുങ്ങളുടെ സ്വഭാവം കാണിക്കരുതെന്ന് “,1
Ni onn poyee monne ..begd pryalla 🤡😂,1
ആ ചിത്രം വരക്കുന്ന ചെക്കൻ കാണണ്ട😹,0
അലിബിന്റെ അണ്ടി തൊട്ട് ആണ് എന്റെ feedil വന്നു തുടങ്ങിയത് 🤣,1
റമളാനിൽ കള്ള് കുടിക്കുന്നവരും നന്നാവും😢,0
ഇതൊന്നും കുഴപല്ല But perform അടികരുത് അത് ഹറാമാണ്,1
Uff aa style nokikke…enna style aa😍😍,0
ആദ്യായിട്ടാ pookies റീൽ ഇത്രേം repeat അടിച് കാണുന്നെ...!!,0
Nki nanam vernn 😭😁,0
"Ithu fake aaanu 😏, njn maathre kalyanathinu poyitollu 🙂",0
ഞാൻ കണ്ടാർന്നു പക്ഷെ തിരക്കിലായൊണ്ട് മിണ്ടാൻ പറ്റില്ല 🙂,0
ഇതൊക്ക ആരെ കാണിക്കാൻ ആണോ ആവോ....,0
ഉള്ള കാര്യം പറയാമല്ലോ കൊള്ളത്തെ ഇല്ല....,1
അതിന്റെ ഒരു അഹങ്കാരം ഓൾക് ഇല്ല 😂,0
അതേ അതെ ഞാൻ വല്ലാണ്ട് ഓർക്കുന്നു 😌🤌🏻,0
ഈ അവസ്ഥ അനുഭവിക്കണം ജീവിതകാലം full ആ വേദന ഉണ്ടായിരിക്കും 🙂🤌🏻,0
Athra valiya bandhangalilek pono sivankutty😂,0
അതിനുമാത്രം പാപം ഒന്നും ദുൽഖർ ചെയ്തിട്ടില്ല,0
എവിടെ ഇന്നിട്ട് റാണിനെ കണ്ടില്ലലോ😢,0
Nitt epo sherikm vekkndii vann😹happy ayi😌👍🏻,0
🙌😂seriously but ചതുരത്തിൽ ഉള്ള കണ്ണടക്ക് പോയിട്ട് വട്ടത്തിൽ കിട്ടി sad ആയിപോയി 🥲,0
വല്യ തമാശയായി പോയി,1
thenne ennal avde irnn kinicho😂🙌,0
പുതിയതായി വരാൻ പോകുന്ന ഭാഷയാ അത് പഠിച്ചു വെച്ചോ 😂,0
കാക്ക എത്ര കളിച്ചാലും കൊക്ക് ആവില്ലല്ലോ അങ്ങനെ കരുതാം 😌😌😌,0
🤣🤣🤣പട്ടിക് മക്കപ് ഇട്ടു കൊടുത്ത പോലെ ഉണ്ട്,1
2 second nagavalli vannu poyonnu oru samshayam,0
16 വയസ് മുതൽ കഷ്ടപ്പെട്ട് തുടങ്ങിയ ഈ മൊതലിനെ ആണ് ആളുകൾ കളിയാക്കുന്നത്.. അക്ഷരം തെറ്റാതെ വിളിക്കാം സിങ്കപെണ്ണേ…,0
ഒരു സാർ മാന്യനാണ് ഗെയിം കളിച്ചു നിലയിൽ എത്തി പറഞ്ഞില്ലാലോ😎🫶🏻,0
നട്ടപ്പാതിരാക്ക് വെറുതേ മോട്ടിവേഷൻ തരല്ലെ😌👏👏പെണ്ണേ നീ 🔥,0
വേറെ ആരേലെങ്കിലും കിട്ടുന്നതിന് മുമ്പ് സോന്തം ഇട 😂എന്നാൽ ഓക്ക് കിട്ടില്ല 😂,0
അയ്യോ ഇദിനെ ആരെങ്കിലും ഒന്ന് പിടിച്ച് കെട്ടി ഇടൂ 😂😳🤣,0
സ്വന്തമായി നാണം കെടാൻ കാണിച്ച മനസ്സ് 😂🤣,0
ഇതിന്റെ ചെറുത് കിട്ടിയ കാറിന്റെ ഡാഷ്ബോർഡിൽ വെക്കാം 😂🤌🏻,0
വിശ്വാസം ആയെ ഇല്ല 😂😂,0
ഇടി വെട്ടിയവനെ പാമ്പ്കടിച്ചു .എവിടെ വെച്ച്?ചിന്നക്കട ജംഗ്ഷനിൽ വെച്ച് 😂,0
🤦🏻‍♀️deivame!!! Malayalathinodu ivanmaarkk valla virodhavum undo?,0
ആസിലേക്ക് തന്നെ ആണ് അടിച്ചു കേറ്റുന്നത് 😂🥰🙏,1
തക്കുടു കുന്തവുമായി പുറകെ ഓടിയത് വെറുതെ ആയല്ലോ 😂😂,0
ഇന്നത്തെ വാണം ഇവളെ ഓർത്തു 💦💦💦,1
കിസ്സ് അടിപൊളി നല്ലൊരു കളി കളിക്കൂ ജോണി ചേട്ടാ 🔥,1
ഈ മയിരന്റെ കുണ്ണ എപ്പോഴും കമ്പി ആണോ 😆,1
പെണ്ണെ ചാർത്തി ഉണ്ടെങ്കിൽ ഇപ്പോൾ തന്നെ dr കാണിച്ചോ ട്ടോ 😂,0
thandhayillaayma parayalle kunje 🥰❤️,1
ആൽബിന്റെ അണ്ടി പണി തന്നു😂😂😂,1
മായാവി ഐലൻഡ് അല്ല Maya Bay Island😂,0
mayabay ennenna parnne 😂 kekkumbho mayavi nn thonunne aan,0
ഈ പറയുന്ന കാര്യങ്ങളും താഴെ കൂടെ പോകുന്ന കപ്പലണ്ടിയും തമ്മിലുള്ള ബന്ധം കൂടി വ്യക്തമാക്കേണ്ടതുണ്ട് 😂,1
ഇവൻ തേച്ചാൽ പിന്നെ ഇവളുടെ ഭാവി സ്വാആഹാആ 😂,1
നിന്റെ പറി mayree,1
Ivar jeevikaan ivarde jeevitham kand ivde kore per kuttam paraymm😂🙌,0
Ninte veetul oru achanum ammayum onnum ille kuttii,0
"ഈ കുട്ടീടെ വീട്ടുകാർക്ക് അവാർഡ് കൊടുക്കണം,,",0
Ith okke etha universe lkg fundkkal 😂😂,1
2 mry kalum veruppikkuva,1
 ingale naatile lkg fundkkal ithe pole ottakk passport um edth ottakk world trip adikkal aano pani😍,0
nte ponnu penne onn nirth instagaraamil idalle reel 🙏,1
Avala umbiya chiri 🙈,1
Athrakk onnm ella mwolee😂 product adipolii aahn but long lasting onnm ella,0
അയിന് നമ്മൾ എന്താ ആകണ്ടേ 😂😂,0
Eni aarum avocado vaanganda ith vangiya mathi😂,0
ഇത് വലിച്ചാൽ ഇംഗ്ലീഷ് പറയാൻ പറ്റും വെറുതെ സ്കൂളിൽ പോയി😂,0
ഒന്ന് മുഖം കാണിച്ചാൽ നൂറു തവണ പറയുന്ന ഈ കാലത്ത് എന്തിന് ഈ കാര്യം മറച്ചു വെച്ചു,0
ഇതൊക്കെ ഞങ്ങളോട് പറയുന്നത് എന്തിനാടാ ഉവ്വേ,0
എന്തോ ഒരു വലിയ മൈര് ആണെന്നുള്ള ഒരു തെറ്റിദ്ധാരണ ഉണ്ട്,1
60k ഉണ്ടേൽ ഞാൻ ഒരു പഞ്ചായത്തിലെ ആൾക്കാരെ മുഴുവൻ കൊണ്ടുപോകുമായിരുന്നു,0
ആ ഹോട്ടലിലെ പൂളിൽ ഞാൻ മുള്ളിയായിരുന്നു 😐🙏🏼 ക്ഷമിക്കണം,0
നിന്നെ മതമയുടെ എടുത്തു നിൽക്കാൻ പോലും പറ്റില്ല,1
നീ ഒക്കെ മിയ ഖലീഫക്ക് തന്ന അപമാനം 🤭😄🎃❤️,1
Ninne nokki nadakkuvahh ayirunu block akkan 🤣🤣🤣,1
ഞാൻ പോയി പുസ്തകത്തിൽ വെച്ച മെയിൽ പീലി പ്രസവിച്ചിനോ നോക്കട്ട് 😌,0
ഈ പെണ്ണിന്റെ സൗണ്ട് ചെവി അടിച്ചു പോകും 🤷‍♀️,0
എന്തൊരു വെറുപ്പീരാടി നീ ബിഗ് ബോസിൽ😠🤨,1
ഓളെ കളിക്കണ്ടാ തോന്നും വേറാരും Bangalore പോയിറ്റില്ല ന്ന്... 🤌🏻 🤢,1
Kadha venda 🙅🏼.. ini athum koodi sahikkaan vayya 😂,0
മുട്ടയിൽ നിന്ന് വിരിഞ്ഞില്ല അതിന് മുൻപ് എന്താ ഇടിനൊക്കെ paraya,0
Urakka gulikka kazhichude,0
"എനിക്കും ഉണ്ട് കുടുക്ക...രാവിലെ പൈസ ഇട്ടു വെക്കും,പിറ്റേന്ന് ഞാൻ തന്നെ കുത്തി എടുക്കും😂",0
ഞ്ഞൻ വല്ല പട്ടി കാട്ടം ആണെന്ന് കരുതി 🤣🤣,0
Eni avihitham ela.chekkan eni vere ale nokikolum.epazhan sechide swapavam correct manasilayath😂,1
Schoolil poyi nthengilum padikan nokadi,1
തേപ്പിന്റെ വാക്കുകൾ വന്നു തുടങ്ങി 😁😁😁,0
പർച്ചേസ് ചെയ്താൽ അമ്മ വഴക്കു പറയും 😭😭😭,0
19 വയസ്സുകാരിയും 20കാരനും കൂടിയുള്ള ട്രിപ്പ്! ഇവൻറെ കൂടെ ഇങ്ങനെ നാട് ചുറ്റാൻ പറഞ്ഞയക്കുന്ന ഉമ്മയെ സമ്മതിക്കണം!!,1
മൈരാണ് 😂😂 ഇത്രേം ഊമ്പിയ റൂം വേറെ കാണാൻ പറ്റില്ല എന്നതാണ് സത്യം ....😂,1
ചേച്ചി തന്ത ഇല്ലായിമ പറഞ്ഞു നടക്കുന്നവരുടെ കമന്റ്‌ നോക്കേണ്ട 😍,1
Ninakk urappundo girl safe Aaa enn promotion cheyubbo ellam kanddarajj cheyyanam 🙂🙌🏻,0
കമന്റ്‌ സെക്ഷൻ തുറന്നപ്പഴാണ് ആശ്വാസം ആയതു.. ഭാഗ്യം അടുത്തൊന്നും കേരളം രക്ഷപെടൂല്ല 😂😂😂,0
വന്ന് വന്ന് ഇൻസ്റ്റയും ഫേസ്ബുക് അമ്മാവന്മാർ നിരങ്ങാൻ തുടങ്ങി 🤭🤭,0
നിങ്ങൾക്ക് എന്തിനാ ഇത്ര സേഫ് വല്ല ഓയോ ബുക്ക് ചെയ്താ പോരെ,1
കളിക്കാൻ പോയി അത് മതി.. 😂,1
Malayalizz nte talent kananmengil ee comment box nokkiyaamthiii…,0
Nalla chandi pollaindd😂,1
Ithilum nallath idandayirunnuuuu😂😂😂,1
നീ endhelum മൈര് ഇടൂ പൂറി,1
nala oru face ayirunu last ഉള്ള ലുക്കും പോയികിട്ടി.😂,1
Kidann karayunnavarkk onnm andi illye?,1
അവസാനം വവ്വാൽ ഊമ്പിയ andi പോലെ ആക്കരുത്,1
Thodakam kaanichathu abinayam aanengil oscar theranam😂😂😂,0
Kali rate parayoo ??,1
സൂക്ഷിച്ചുപോക്കോ അവിടെ പിള്ളേരെപിടുത്തക്കാരുണ്ട്,0
എട്ടും പൊട്ടും അറിയാത്ത തീട്ടങ്ങൾ പോയാൽ ഇങ്ങനെ ഇരിക്കും 😂😂,0
അവന വല്ല പണിക്കും വിടു കുണ്ടൻ ആയി പോവും അവൻ,1
റീൽസ് കണ്ട ട്രയിൻ മാണെങ്കിൽ റീലിസ് കണ്ട ട്രയിനിൽ തന്നെ കേറണം ​ AC എട്ത്താ ആ വൈബ് കിട്ടൂല 😂😂🔥,0
പെണ്ണിന്റെ വരുമാനത്തിൽ.. അടിച്ചുപൊളി 😀😀,1
ഈ കഞ്ചാവാണോ ലവക്കടെ.. ഓൻ 😼,1
Asooya onnum illa rechaarge cheytha nett avan thanne full use cheytha mathi,1
ട്രെയിൻ യാത്രക്കാരുടെ വിശപ്പ് അകറ്റാൻ പറ്റിയ ഒറ്റ സാധനം ഉള്ളൂ വടയപ്പ 😂,0
അവിടെ എന്തിനാ അങ്ങനെ കൈ വെച്ചിട്ടുള്ളത്,0
Report adichitum povunillaoo vallatha shalyam tahnne,1
Social medianu kitya paisa kond medicha dress.athin mune nadanaa kolam cheyn paranjapo avl ariyulanuu😂😂eneet podeyy,1
ninne madutthu thonnunu ath kondaayirikkaaam avale adth poyi irikknne,1
ആ വഴി പോയ ഒരു ചേട്ടൻ : ഇനി പാടത്തു കോലം ഒന്നും വെക്കേണ്ട 😂,0
വെക്കട കുണ്ണകളെ ഇതിന് മുകളിൽ വെക്കില്ല ഒരുത്തനും 🔥,1
അവന്റെ അച്ഛനെ കളി പഠിപ്പിച്ചവന്റെ അടുത്ത് ആണ് മോൻ കളിക്കാൻ വരുന്നത് 😹🔥,0
 jeevithathil ninnum pichi cheenthy parich edthath 🤣,0
അതാണ് ഏറ്റവും വലിയ അറപ്പ്,1
ഇഷ്ടല്ലങ്കിൽ ഇറങ്ങി പൊയ്ക്കൂടേ നായ്ന്റെ മക്കൾക്ക് 😐,1
പല്ലിൽ കമ്പിയിട്ടാൽ തലക്ക് ബാധിക്കുമെന്ന് ഇപ്പോ മനസ്സിലായി 😭,0
അടുത്ത പ്രാവിശ്യം തലക്ക് കമ്പി ഇടൂ.. നന്നായി ആടുന്നുണ്ട് 🥲👍,0
Ithu kambiyilu nilkumn thonanilla changala vendi varum😢,0
മോളെ ഈ പറഞ്ഞപോലെ അല്ല നിന്റെ അമ്മ വെറും തള്ളൽ മാത്രമേ ഉള്ളു 🙌,0
നീ എന്തിനാ അവന്റെ ഷോർട്സ് ഇട്ട് നടക്കുന്നെ 😢😂,0
അതിപ്പോ tiger ബിസ്‌ക്കറ്റിൽ tiger ഇല്ലല്ലോ.. അത് പോലെ kerala story യിൽ കേരളവും ഇല്ല 😂😂,0
Ivide namuk thinnan beef illa... Appozhanu baaki ullavane theetikan.... 😂,0
Avalde lipstick enthina ninde kayile ? 😂😂😂😂,0
Angotto ingotto oru maattom illa🔥🙌,0
ആനീസ് കിച്ചൻ - ഒന്നെങ്കിൽ അടുക്കളയിൽ ഇരിക്കുക -അല്ലെങ്കിൽ ഇരിക്കുന്നിടം അടുക്കള ആകുക എന്നെ പോലെ,0
കരഞ്ഞോ പക്ഷെ അയൽപക്കത്തുള്ളവർ കേൾക്കരുത് 🥲💯,0
എന്റെ പൊന്നോ ഇതൊന്നുമല്ല ട്രെയിനിൽ ഒന്ന് പോണം ഞരമ്പൻമാരുടെ ബഹളമാ 😅,0
എനിക്ക് മനസിലാകാത്തത് കൊണ്ട് ചോദിക്കുവാ ഇതിന്റെ വീട്ടുകാർ മാത്രമാണോ ഇങ്ങനെ സംസാരിക്കുന്നേ.,1
സ്വന്തം അപ്പനെ കണ്ടു പഠിച്ചിട്ട് മോള് കളത്തിലിറങ്ങിയിരിക്കുന്നു uff😂,1
Ithu engneee melted avandu kondu pokan pattunu 🤔,0
aynh edth vekkan paisa vende🙂,0
അന്റെ സമ്പാദ്യം ഇൻസ്റ്റഗ്രാമം യൂട്യൂബും ബാൻ ആയാൽ അവിടെ നിക്കും 😂😂😂😂😂,1
Make up ഒന്നും ഇട്ടില്ലെങ്കിൽ സുന്ദരി ആവില്ലന്നറിഞ്ഞ  : എന്നാൽ ഒരു കിലോ പുട്ടി ഇട്ട് തന്നെ തന്നെ ആശ്വാസം കണ്ടെത്താം 😂😂,1
"Ninak mathram ala influencersnu ellarkum,social media nannai handle cheyana ellarkum kitununde.",1
nee endh thenghayaado parayunne😂,1
Itharaam chekkanmare okke angotm parenam..appo kazha theerum 😋,0
അങ്ങോട്ട് തുറന്നിട്ട് നടക്ക് ചേച്ചി😂😂,1
I think ninak ninte pani nokikode🤌😭,0
എന്നാ മതം മാറ്റാതെ രണ്ട് പേരും കല്ല്യാണം കഴിക്കട്ടെ അപ്പൊ നോക്കാം,1
എന്നാലും പറയുക എന്തു പ്രഹസനം ആണ് സജി?😄,1
ഇതിപ്പോ പട്ടി show എന്ന് ആരും comment ഇടേണ്ട ആവശ്യമില്ല ഓള് തന്നെ നമുക്ക് ഒരു signal തന്നിട്ടുണ്ട്..😂🙌🔥,0
ശേ.... അപ്പോഅത് ഉള്ളതല്ലേ. വെറുതെ സന്തോഷിച്ചു..!!😌,0
Aalibinde chukkaamani veludhaayo?,1
"ഇവരെ ഒക്കെ പടച്ചോൻ മഹ്ശറ യിൽ നിർത്തി പൊരിക്കുമ്പോൾ ഈ ചാട്ടം ഒന്ന് ഇണ്ടാവൂല അവിടെ എന്ത്‌ അലിബി 😂
വിവേകം നഷ്ടം പെട്ട ജീവിതങ്ങൾ",1
Nna in onnum pani nadakkula,0
പുറകിൽ നിൽക്കുന്നവന്റെ കൈ മുമ്പിൽ നികുന്നവന്റെ തോളിൽ അത്‌ must ആണ് ✊😂,0
Ini njn oru surprise tharatte...Avan enik vendi ana neeyum ayitt break up ayath..egane ind..egane ind 😂,0
"കയ്യ് പൊക്കാതെ കഷം കണ്ടുപിടിച്ചോ, ബുദ്ധിമുട്ടിക്കാണും 😂",0
i wanna tag my ammayi but tharavad bhaagam vekkaan povaan so ath kazhinj i will,0
"Ente ponnu Afreen, sathyam paranjal, ningal aanu ee Aunty maare trai0n cheythu vidennu ennu oru doubt undu. 😂",0
അത് വിട് അമ്മച്ചിയുടെ വീട്ടിൽ gas കുറ്റി ഇരുപോണ്ട...😂,0
ആ തിരിച്ചു പോണ പോക്കിൽ കാല് ആ ഫ്രിഡ്ജ്മേ ഇടിക്കണം 😂😬🙆‍♀️🥹,0
Arelum virthiketta comment ittal enik idikkendi varum 👊🏻😂,0
"നീ എന്റെ മാത്രമാ, നിന്റെ സ്നേഹം എനിക്ക് മാത്രം മതി...നിന്റെ ഇൻസ്റ്റാ, fb, പാസ്സ്‌വേർഡ്‌ പറഞ്ഞെ.... 🥴🥴🥴",1
"നിനക്ക് എന്നെ വിശ്വാസം ഇല്ലല്ലേ , ഇതാണ് main dialogue",0
സ്ത്രീകൾ ചെയ്യേണ്ട ജോലി മൊത്തം ചെയ്യാത്തോണ്ട് എൻ്റെ സ്ത്രീത്വം എനിക്ക് നഷ്ടപ്പെട്ട് തുടങ്ങി...എനിക്ക് മീശ വന്നു😭,0
"purushante oppam nadakan ala, purushante pinnil nadakan an enik ishtam!😌🤌 Athaan athinte oru ith!😌",0
"വീട്ടിലെ ജോലികൾ സ്ത്രീകൾ ചെയ്യുമ്പഴാണ് അതിന്റെ ഒരു ഭംഗി, അതോണ്ട് ഞാൻ സ്ത്രീകളെ ആണ് ജോലിക്ക് വച്ചിരിക്കുന്നത്. 😎",0
nnies kitchen എന്ന പേര് മാറ്റി ആനീസ് യൂണിവേഴ്സിറ്റി ഓഫ് കുലസ്ത്രീ and ടെക്നോളജി എന്നാക്കിയ കുറച്ചൂടെ നല്ലതായിരുന്നു 😌,0
"ആവശ്യങ്ങൾ അല്ല, അവകാശങ്ങൾ ആണ് 🙌 🚩🚩🚩🚩",0
Vivaramillaayma oru alankaaram aahn hey🤧,0
Second half vamban twist olippich vachaan puthiya release 😃,0
ഫെമിനിസം എന്ന് പറഞ്ഞാൽ ചിലരുടെ ധാരണ പുരുഷന്റെ മെക്കിട്ട് കേറൽ എന്നാണ്😂,0
lokha vivaram ulla mottayil viriyatha koch,1
വയലിന്റെ കൂടെ മനോഹരമായി സപ്പോർട്ട് ചെയ്ത ആ ചെണ്ടാക്കാരെ കൂടി ഒന്ന് കാണിക്കാമായിരുന്നു.. 😊,0
ലെ അവൻ... ഇതിലും നല്ലത് കമ്പ്ലൈന്റ് ചെയ്യുകയായിരുന്നു 😍😂,0
maap parayanh kaanicha avante manas aarum kannathe pookerth 😂,0
Alloh nthoka kananm le.. Ivanoke alle valarnn pandhalikkaan poknne nn alojikumpzha🥺,0
18 വയസ്സ് കഴിഞ്ഞ ആൺ ആയാലും പെണ്ണ് ആയാലും വീട്ടിൽ പിടിച്ചു നിർത്തേണ്ട ആവശ്യം ഇല്ല പ്രായപൂർത്തി ആയി ഇഷ്ട്ടം ഉള്ളത് ചെയ്യാം,0
അങ്ങേര് നല്ലൊരു മനുഷ്യൻ എന്നതിനപ്പുറം ഒരുച്ഛനും കൂടിയാണ് ആ ചേട്ടൻ ❤️💯,0
അഫ്രിനെ കണ്ട് പടിക്ക് എത്ര നാളായി അവൾ കുളിക്കാതെ നടക്കുന്നു 🤌🤣😭💯,0
Sambar le puzhu protein source aanennu paranja ente warden ne orkunnu 😌,0
100 രൂപ മേടിച്ചാൽ 500 രൂപക്ക് ഒള്ളത് ചേച്ചി അഭിനയ്ക്കും പ്രൊമോഷൻ ആയാലും സിനിമ ആയാലും 😂✅,1
"Parayunne konde onnum vichayeerakale, kurachu athikam expression avisham illande kori eriyunno ennu ore thonnal.🫣",1
ഈ വാണം എന്തിനാ ഇത്ര എക്സ്പ്രഷൻ ഇടുന്നത് 😂,1
Kelavi Enthin expression ittu marikunne 😂😂😂,1
Epstein filess il illaa ee chanakathine ano flex cheyan pone 🥰🔥😂😂,1
"കൊച്ചിന് ആളെ മനസ്സിലായിട്ടില്ല, അറിയാമെങ്കിൽ ഇറങ്ങി ഓടിയേനെ 😂😂",0
പൂചാണ്ടി എന്നും എനിക്ക് ഒരു സുൽഫികർ ആയിരുന്നു... 😂,1
Enth avaratham anne,1
Uff kundi vannu beendum,1
Ivale vechi adikanm😍😍,1
ചതിച്ചല്ലോ എന്റെ ഓറാൻ കുട്ടൻ മുത്തപ്പാ 😭😭,0
എന്തിനോ എന്തിനൊക്കെയോ വേണ്ടി കരയുന്ന കുറച്ച് കമാൻഡ്ഒളികൾ 😂,0
Daa thazhe erakkada😭😢,0
ചതിച്ചല്ലോടാ നീ ഓക്കേ കൂടി 😢,0
ഞാൻ കരുതി ഇവിളുട തന്ത കേറി വരുമൊന്നു 🤣🤣,0
Innum vaanam poyi,1
കുളിച്ചിട്ട് തോർത്തു ഉടുത്ത ഡാൻസ് കളിക്കുന്നത് പോലെ und😁,1
nannayi vayar chaadi,1
profile picture il slim beauty aanallo😂,1
Vayar chaadi mole,1
Aa thuni kurachum koodi irngirungil kurach koodi reah undayene kashttam,1
eee naattukaarkk kaanumbo nagnatha aayitt thonnanindel scroll cheyth pokkoode nthinaan avarde parents nte nenjathott keranath,0
Ee type dressnu vayar illathatha bangi.. Ithokke nokkande? 🙂,1
Enik maathrm aano isthapedathe pooyath,0
എന്റെ പൊന്നു മോളെ പാടല്ലേ 🙏,1
nthelam cheyythithm oru mena illelo,1
വായ കൊണ്ട് ഗോഷ്ട്ടി കാണിച്ചു കാണിച്ചു ഒരു കോടല് ആയിട്ടുണ്ട് കിറി.. ഒരു വശത്തേക്ക്,1
